token,action,price,timestamp,balance_before,balance_after,amount
BTCUSDT,BUY,115967.57,2025-07-11 01:59:59,1000.0,0.0,0.0086231004
BTCUSDT,SELL,117526.88,2025-07-11 07:59:59,1013.4461,1013.4461,0.0086231004
BTCUSDT,BUY,117964.76,2025-07-11 08:59:59,1013.4461,0.0,0.0085910918
BTCUSDT,SELL,117983.78,2025-07-11 10:59:59,1013.6095,1013.6095,0.0085910918
BTCUSDT,BUY,117989.18,2025-07-11 13:59:59,1013.6095,0.0,0.0085906986
BTCUSDT,SELL,117858.16,2025-07-11 14:59:59,1012.4839,1012.4839,0.0085906986
BTCUSDT,BUY,117393.39,2025-07-11 16:59:59,1012.4839,0.0,0.0086247099
BTCUSDT,SELL,117664.46,2025-07-11 20:59:59,1014.8218,1014.8218,0.0086247099
BTCUSDT,BUY,117644.81,2025-07-12 01:59:59,1014.8218,0.0,0.0086261505
BTCUSDT,SELL,117646.44,2025-07-12 04:59:59,1014.8359,1014.8359,0.0086261505
BTCUSDT,BUY,117847.66,2025-07-12 06:59:59,1014.8359,0.0,0.0086114217
BTCUSDT,SELL,117731.99,2025-07-12 07:59:59,1013.8398,1013.8398,0.0086114217
BTCUSDT,BUY,117929.65,2025-07-12 08:59:59,1013.8398,0.0,0.0085969882
BTCUSDT,SELL,117810.0,2025-07-12 11:59:59,1012.8112,1012.8112,0.0085969882
BTCUSDT,BUY,117478.4,2025-07-12 17:59:59,1012.8112,0.0,0.0086212545
BTCUSDT,SELL,117023.36,2025-07-12 20:59:59,1008.8882,1008.8882,0.0086212545
BTCUSDT,BUY,117485.22,2025-07-12 21:59:59,1008.8882,0.0,0.0085873625
BTCUSDT,SELL,117420.0,2025-07-12 23:59:59,1008.3281,1008.3281,0.0085873625
BTCUSDT,BUY,117553.37,2025-07-13 01:59:59,1008.3281,0.0,0.0085776197
BTCUSDT,SELL,117759.99,2025-07-13 05:59:59,1010.1004,1010.1004,0.0085776197
BTCUSDT,BUY,117888.51,2025-07-13 06:59:59,1010.1004,0.0,0.0085682685
BTCUSDT,SELL,117895.78,2025-07-13 08:59:59,1010.1627,1010.1627,0.0085682685
BTCUSDT,BUY,118072.01,2025-07-13 11:59:59,1010.1627,0.0,0.0085554798
BTCUSDT,SELL,118672.24,2025-07-13 15:59:59,1015.298,1015.298,0.0085554798
BTCUSDT,BUY,118699.6,2025-07-13 17:59:59,1015.298,0.0,0.0085535078
BTCUSDT,SELL,118648.87,2025-07-13 21:59:59,1014.864,1014.864,0.0085535078
BTCUSDT,BUY,119086.64,2025-07-13 23:59:59,1014.864,0.0,0.0085220646
BTCUSDT,SELL,121973.74,2025-07-14 09:59:59,1039.4681,1039.4681,0.0085220646
BTCUSDT,BUY,121918.0,2025-07-14 12:59:59,1039.4681,0.0,0.0085259608
BTCUSDT,SELL,121158.89,2025-07-14 14:59:59,1032.9959,1032.9959,0.0085259608
BTCUSDT,BUY,119939.41,2025-07-14 19:59:59,1032.9959,0.0,0.0086126482
BTCUSDT,SELL,120034.98,2025-07-14 21:59:59,1033.8191,1033.8191,0.0086126482
BTCUSDT,BUY,117335.12,2025-07-15 05:59:59,1033.8191,0.0,0.0088108237
BTCUSDT,SELL,117070.54,2025-07-15 06:59:59,1031.4879,1031.4879,0.0088108237
BTCUSDT,BUY,116779.99,2025-07-15 09:59:59,1031.4879,0.0,0.0088327451
BTCUSDT,SELL,116008.19,2025-07-15 14:59:59,1024.6708,1024.6708,0.0088327451
BTCUSDT,BUY,117188.01,2025-07-15 16:59:59,1024.6708,0.0,0.0087438192
BTCUSDT,SELL,116719.55,2025-07-15 18:59:59,1020.5746,1020.5746,0.0087438192
BTCUSDT,BUY,117553.92,2025-07-15 21:59:59,1020.5746,0.0,0.0086817577
BTCUSDT,SELL,117724.29,2025-07-16 01:59:59,1022.0538,1022.0538,0.0086817577
BTCUSDT,BUY,117600.92,2025-07-16 04:59:59,1022.0538,0.0,0.0086908653
BTCUSDT,SELL,118736.25,2025-07-16 10:59:59,1031.9208,1031.9208,0.0086908653
BTCUSDT,BUY,118700.01,2025-07-16 13:59:59,1031.9208,0.0,0.0086935187
BTCUSDT,SELL,119073.35,2025-07-16 17:59:59,1035.1664,1035.1664,0.0086935187
BTCUSDT,BUY,119512.2,2025-07-16 18:59:59,1035.1664,0.0,0.008661596
BTCUSDT,SELL,119230.16,2025-07-16 19:59:59,1032.7235,1032.7235,0.008661596
BTCUSDT,BUY,119921.96,2025-07-16 20:59:59,1032.7235,0.0,0.0086116294
BTCUSDT,SELL,119297.64,2025-07-16 21:59:59,1027.3471,1027.3471,0.0086116294
BTCUSDT,BUY,118894.33,2025-07-17 00:59:59,1027.3471,0.0,0.0086408416
BTCUSDT,SELL,118149.7,2025-07-17 01:59:59,1020.9128,1020.9128,0.0086408416
BTCUSDT,BUY,118485.4,2025-07-17 04:59:59,1020.9128,0.0,0.0086163598
BTCUSDT,SELL,118452.51,2025-07-17 06:59:59,1020.6294,1020.6294,0.0086163598
BTCUSDT,BUY,118769.34,2025-07-17 09:59:59,1020.6294,0.0,0.0085933747
BTCUSDT,SELL,118340.01,2025-07-17 10:59:59,1016.9401,1016.9401,0.0085933747
BTCUSDT,BUY,118281.99,2025-07-17 13:59:59,1016.9401,0.0,0.00859759
BTCUSDT,SELL,118558.61,2025-07-17 16:59:59,1019.3183,1019.3183,0.00859759
BTCUSDT,BUY,119261.5,2025-07-17 17:59:59,1019.3183,0.0,0.0085469185
BTCUSDT,SELL,118959.66,2025-07-17 19:59:59,1016.7385,1016.7385,0.0085469185
BTCUSDT,BUY,119436.86,2025-07-17 20:59:59,1016.7385,0.0,0.00851277
BTCUSDT,SELL,119766.71,2025-07-17 22:59:59,1019.5465,1019.5465,0.00851277
BTCUSDT,BUY,119739.06,2025-07-18 00:59:59,1019.5465,0.0,0.0085147357
BTCUSDT,SELL,120251.0,2025-07-18 06:59:59,1023.9055,1023.9055,0.0085147357
BTCUSDT,BUY,119250.72,2025-07-18 10:59:59,1023.9055,0.0,0.0085861577
BTCUSDT,SELL,118773.38,2025-07-18 13:59:59,1019.807,1019.807,0.0085861577
BTCUSDT,BUY,117405.0,2025-07-18 20:59:59,1019.807,0.0,0.0086862312
BTCUSDT,SELL,117739.7,2025-07-19 00:59:59,1022.7143,1022.7143,0.0086862312
BTCUSDT,BUY,118036.73,2025-07-19 01:59:59,1022.7143,0.0,0.008664373
BTCUSDT,SELL,118134.83,2025-07-19 04:59:59,1023.5642,1023.5642,0.008664373
BTCUSDT,BUY,118244.3,2025-07-19 09:59:59,1023.5642,0.0,0.0086563515
BTCUSDT,SELL,118327.06,2025-07-19 11:59:59,1024.2806,1024.2806,0.0086563515
BTCUSDT,BUY,118058.11,2025-07-19 15:59:59,1024.2806,0.0,0.0086760717
BTCUSDT,SELL,117808.17,2025-07-19 17:59:59,1022.1121,1022.1121,0.0086760717
BTCUSDT,BUY,118007.88,2025-07-19 19:59:59,1022.1121,0.0,0.0086613888
BTCUSDT,SELL,117720.01,2025-07-19 20:59:59,1019.6188,1019.6188,0.0086613888
BTCUSDT,BUY,117792.98,2025-07-19 22:59:59,1019.6188,0.0,0.0086560233
BTCUSDT,SELL,117949.98,2025-07-20 04:59:59,1020.9778,1020.9778,0.0086560233
BTCUSDT,BUY,118029.49,2025-07-20 07:59:59,1020.9778,0.0,0.0086501922
BTCUSDT,SELL,117913.11,2025-07-20 09:59:59,1019.9711,1019.9711,0.0086501922
BTCUSDT,BUY,118085.43,2025-07-20 12:59:59,1019.9711,0.0,0.0086375691
BTCUSDT,SELL,118557.78,2025-07-20 16:59:59,1024.051,1024.051,0.0086375691
BTCUSDT,BUY,118361.79,2025-07-20 18:59:59,1024.051,0.0,0.0086518717
BTCUSDT,SELL,118155.01,2025-07-20 19:59:59,1022.262,1022.262,0.0086518717
BTCUSDT,BUY,118183.92,2025-07-21 02:59:59,1022.262,0.0,0.0086497553
BTCUSDT,SELL,119016.83,2025-07-21 08:59:59,1029.4665,1029.4665,0.0086497553
BTCUSDT,BUY,118834.0,2025-07-21 13:59:59,1029.4665,0.0,0.0086630632
BTCUSDT,SELL,118313.16,2025-07-21 15:59:59,1024.9544,1024.9544,0.0086630632
BTCUSDT,BUY,117215.25,2025-07-21 21:59:59,1024.9544,0.0,0.0087442068
BTCUSDT,SELL,117123.69,2025-07-22 00:59:59,1024.1538,1024.1538,0.0087442068
BTCUSDT,BUY,117750.01,2025-07-22 01:59:59,1024.1538,0.0,0.0086976957
